Company,Role,Country,Location,Track,Degree,Status,Deadline,Link,Source,Last Checked
Google,"Student Researcher, BS/MS, Winter–Summer 2027",United States,Multiple US locations,Student Researcher · ML Research · Foundation Models,BS/MS,Open,2027-07-16 (may close early),https://www.google.com/about/careers/applications/jobs/results/131518356678156998-student-researcher-bsms-wintersummer-2027?page=2&sort_by=date,Official,2026-09-18
Google,"Research Intern, PhD, Summer 2027",United States,Multiple US locations,ML Research · AI · Machine Perception,PhD,Open,2027-02-26 (may close early),https://www.google.com/about/careers/applications/jobs/results/86701057991680710-research-intern-phd-summer-2027?location=United+States&page=4&sort_by=date,Official,2026-09-18
Apple,Machine Learning & Artificial Intelligence Undergrad Internships,United States,Various US locations,ML Research · Generative AI · RL · Multimodal,BS,Open,Rolling,https://jobs.apple.com/en-us/details/200664780-3810/machine-learning-and-artificial-intelligence-undergrad-internships,Official,2026-09-18
Apple,Machine Learning & Artificial Intelligence Masters Internships,United States,Various US locations,ML Research · Generative AI · RL · Multimodal,MS,Open,Rolling,https://jobs.apple.com/en-us/details/200664221-3810/machine-learning-and-artificial-intelligence-masters-internships,Official,2026-09-18
Apple,Machine Learning & Artificial Intelligence PhD Internships,United States,Various US locations,ML Research · Generative AI · RL · Multimodal,PhD,Open,Rolling,https://jobs.apple.com/en-us/details/200664223-3810/machine-learning-and-artificial-intelligence-phd-internships,Official,2026-09-18
Apple,Applied Data Solutions Program — Summer 2027,United States,"Cupertino, CA / Austin, TX",Data Science · Applied ML · Analytics,BS/MS,Open,Not listed,https://jobs.apple.com/en-us/details/200673612-0836/applied-data-solutions-program-internships-summer-2027?team=STDNT,Official,2026-09-18
NVIDIA,"PhD Research Intern — Fundamental Generative AI, 2027",United States,"Santa Clara, CA",Generative AI · Multimodal · Video/Image · Foundation Models,PhD,Open,Rolling / apply early,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/Research-Intern--Fundamental-Generative-AI---2027_JR2025406,Official,2026-09-18
NVIDIA,2027 Internships — PhD Research Generative AI,United States,"Santa Clara, CA",Generative AI · Computer Vision · Robotics,PhD,Open,Rolling,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/US-CA-Santa-Clara/NVIDIA-2027-Internships--PhD-Research-Generative-AI_JR2023475,Official,2026-09-18
NVIDIA,2027 Internships — PhD Research Large Language Models,United States,"Santa Clara, CA",LLM · Multimodal · RL · Synthetic Data,PhD,Open,Rolling,https://nvidia.wd5.myworkdayjobs.com/en-US/nvidiaexternalcareersite/job/US-CA-Santa-Clara/NVIDIA-2027-Internships--PhD-Research-Large-Language-Models_JR2023837,Official,2026-09-18
NVIDIA,2027 Internships — PhD Research Computer Vision & Deep Learning,United States,"Santa Clara, CA",Computer Vision · Deep Learning · Representation Learning,PhD,Open,Rolling,https://nvidia.wd5.myworkdayjobs.com/en-US/NVIDIAExternalCareerSite/job/NVIDIA-2027-Internships--PhD-Research-Computer-Vision-and-Deep-Learning_JR2023833,Official,2026-09-18
