Company,Role,Country,Location,Area,Status,Deadline,Link,Last Checked
Baidu,大模型算法实习生 — 基础模型研发部 (J99230),China,Beijing / Shenzhen,Foundation Models; Multimodal; ML Research,Open,Not listed,https://talent.baidu.com/jobs/detail/INTERN/f8a467f0-2a4a-4238-a21c-412408f85c2e,2026-09-17
Baidu,数字人&多模态生成算法实习生 (J96195),China,Beijing / Shanghai / Shenzhen,Multimodal; Generative AI; Computer Vision,Open,Not listed,https://talent.baidu.com/jobs/detail/INTERN/7dc95e23-36ba-4b6c-ba43-66949ac17e39,2026-09-17
Baidu,视觉先锋 — 多模态理解&生成大模型算法实习生计划 (J86894),China,Beijing / Shanghai / Shenzhen,Multimodal; Video/Image Generation; 3D; ML Research,Open,Not listed,https://talent.baidu.com/jobs/detail/INTERN/ca1e873a-f3e5-4227-befd-5b408965a610,2026-09-17
Baidu Research Institute,大模型算法实习生 (J95515),China,Beijing,LLM; Agents; Multimodal; ML Research,Open,Not listed,https://talent.baidu.com/jobs/detail/INTERN/f4f00de1-f5a6-494d-b8e1-943ce9d94905,2026-09-17
Huawei 2012 Labs,2027 Research / AI Internship target,China,China — team dependent,ML Research; Foundation Models; AI Systems,Open,Not listed,https://career.huawei.com/cn/department-list,2026-09-17
Huawei Cloud,2027 AI Internship Special Program target,China,China — team dependent,Applied ML; Foundation Models; Agents; AI Systems,Open,Not listed,https://career.huawei.com/cn/department-list,2026-09-17
Huawei Intelligent Automotive Solutions BU,AI Internship — Intelligent Driving / Physical AI target,China,China — team dependent,Embodied AI; Autonomous Driving; Multimodal; ML,Open,Not listed,https://career.huawei.com/cn/department-list,2026-09-17
Microsoft Research Asia,Research Intern — Visual Computing Group,China,Beijing / Shanghai,Multimodal; Foundation Models; Visual Generation; RL; AI Agents,Open,Not listed,https://www.microsoft.com/en-us/research/opportunity/research-intern-for-visual-computing-group-microsoft-research/,2026-09-17
Momenta,World Model Algorithm Engineer (Mstar) — Internship,China,Shanghai,World Model; Physical AI; VLA; Video Generation; Multimodal,Open,2026-10-30,https://www.nowcoder.com/jobs/detail/456906,2026-09-17
Shanghai AI Laboratory,Physical-Consistency Video Generation / World Model Research Intern,China,Shanghai,World Model; Video Generation; Embodied AI; Robotics,Open,Not listed,https://offerdao.ai/j/agent_lkk3iroftk2rxv,2026-09-17
